OBJECTID,CSA2010,hsagov10,hsagov11,hsagov13,hsagov14,SHAPE_Length,SHAPE_Area
21,Greater Mondawmin,37.4301675977654,48.3660130718954,46.9879518072289,55.6701030927835,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,87.5,89.4736842105263,80,100,39862.7497953315,56688145.179702
23,Greater Rosemont,46.6666666666667,42.1828908554572,38.3783783783784,44.1489361702127,32559.0762212062,42204384.5422658
24,Greenmount East,41.1764705882353,38.8535031847134,29.4117647058824,48.3516483516483,20797.473457859,19072287.8238042
25,Hamilton,52.6011560693642,56.8720379146919,60.7142857142857,67.6767676767676,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,52.7272727272727,38.7096774193548,29.6296296296296,46.6666666666666,18552.4075815481,10215859.0840198
27,Harford/Echodale,60.6741573033708,57.1428571428571,53.2710280373832,70.6521739130434,40019.1854001864,65360039.1701278
28,Highlandtown,33.3333333333333,43.9024390243902,22.2222222222222,48.4848484848484,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,49.7041420118343,45.4545454545455,46.4285714285714,65.6716417910447,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,59.0909090909091,44,71.4285714285714,63.1578947368421,43415.0595477941,24995836.2620936
31,Lauraville,42.1383647798742,50.8571428571429,52.9411764705882,62.7906976744186,34419.6765281197,49665744.2382935
32,Loch Raven,49.3670886075949,51.0204081632653,54.6875,66.3636363636363,29314.3346718106,44147812.3259686
33,Madison/East End,28.310502283105,25.3246753246753,26.2295081967213,48.7179487179487,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,59.0909090909091,62.3762376237624,56.4102564102564,85.7142857142857,43152.6256992199,62441489.2397897
35,Midtown,50,43.1818181818182,52.9411764705882,64,25020.0969697781,23823949.929494
36,Midway/Coldstream,52.7777777777778,42.9487179487179,30.3370786516854,56.3829787234042,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,73.7704918032787,66.6666666666667,65.3061224489796,72.0930232558139,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,80,76.1904761904762,95.2380952380952,100,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,85.7142857142857,85.1851851851852,70.5882352941177,91.8918918918918,42904.2221443837,74923987.6939622
40,Northwood,50,49.5192307692308,40.2439024390244,74.7663551401869,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,41.9753086419753,38.135593220339,41.9354838709677,41.6666666666666,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,42.2535211267606,42.8571428571429,39.7058823529412,58.4415584415584,47825.8629265765,89894372.2114828
43,Patterson Park North & East,42.3076923076923,42.0689655172414,41.4285714285714,47,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,42.4581005586592,37.6623376623377,33.8461538461538,66.1764705882352,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,45.8149779735683,50.5494505494505,36.734693877551,40.4255319148936,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,47.2972972972973,49.4252873563218,28.5714285714286,45.6521739130434,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,46.4285714285714,37.6569037656904,32.2033898305085,44.1441441441441,20987.1433066415,23672092.8680536
48,South Baltimore,72.2222222222222,57.1428571428571,72.7272727272727,81.8181818181818,68440.0258267645,46353935.42529
49,Southeastern,31.7460317460317,26.9230769230769,37.5,70,102291.480547452,111251478.472831
50,Southern Park Heights,41.0569105691057,41.3793103448276,44.1441441441441,59.6153846153846,24052.2213722085,27876227.5906738
51,Southwest Baltimore,46.2686567164179,43.2142857142857,37.593984962406,42.8571428571428,28355.5635813649,37766068.8367913
52,The Waverlies,51.006711409396,50.4065040650407,48,62.7118644067796,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,38.0116959064327,37.3563218390805,31.25,43.3333333333333,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,50.7246376811594,40.6779661016949,53.8461538461538,56.6666666666666,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,49.1935483870968,48.0769230769231,47.6190476190476,53.6231884057971,42573.1244161893,45494092.9497963
